0;id;notes;macro;version;arch;enabled;update;remove;name;url;manifest;deps;rank;class;packages;brief;description
205;57;;MIXED;mixed;mixed;1;1;0;nielshor-for-13.0;http://www.nielshorn.net/_download/slackware/packages/;;0;99;mimix;PACKAGES.TXT.gz;Niels Horn;x
206;35;obsolete;MIXED;12.1;i386;0;0;1;stabellini;http://www.stabellini.net/filesystem/repository/Stefano_Stabellini/;;1;99;32121;PACKAGES.TXT.gz;Stabellini;Repository from www.stabellini.net packages for Slackware 12.1
207;55;removed;MIXED;current;i386;0;0;1;scxd-current;http://scxd.info/pub/;;1;99;32cur;PACKAGES.TXT.gz;Scxd;Scxd repository
208;36;removed;DANIX;13.0;x86_64;0;0;1;c4dwbspace-jimmy_page_89-x86_64;http://danixland.net/packages/slackware64-13.0/;;0;99;64130;PACKAGES.TXT.gz;Jimmy_page_89;Jimmy_page_89 (c4dwbspace.altervista.org) packages for Slackware64-13.0. thanx to Danix for webspace
209;54;removed;DANIX;current;x86_64;0;0;1;danix-current64;http://danixland.net/packages/slackware64-current/;;0;99;64cur;PACKAGES.TXT.gz;Danix;Repository from Danix (danixland.net) for Slackware64 Current
210;58;removed;MIXED;13.1;x86_64;0;0;1;chessgriffin-for-13.1;http://www.chessgriffin.com/pkgs/slackware/;;0;99;64131;PACKAGES.TXT;Chess Griffin;x
211;19;;MIXED;current;x86_64;1;1;0;zerouno-c64;http://www.z01.eu/repo-slack/slackware64-current/;;0;99;64cur;PACKAGES.TXT;ZeroUno;Repository from ZeroUno contains 64 bit packages for Slackware Current
231;50;removed;DIA-TECH_ASZABO;13.1;i386;0;0;1;dia-tech-slack-13.1;http://www.dia-tech.net/linux/Slackware-13.1/;;0;99;32131;PACKAGES.TXT.gz;Aszabo;Packages from Aszabo (www.dia-tech.net) for Slackware 13.1 32bit
232;51;removed;DIA-TECH_ASZABO;13.0;i386;0;0;1;dia-tech-slack-13.0;http://www.dia-tech.net/linux/Slackware-13.0/;;0;99;32130;PACKAGES.TXT.gz;Aszabo;Packages from Aszabo (www.dia-tech.net) for Slackware 13.0 32bit
233;52;removed;DIA-TECH_ASZABO;12.2;i386;0;0;1;dia-tech-slack-12.2;http://www.dia-tech.net/linux/Slackware-12.2/;;0;99;32122;PACKAGES.TXT.gz;Aszabo;Packages from Aszabo (www.dia-tech.net) for Slackware 12.2
