0;'id';'notes';'macro';'version';'arch';'enabled';'update';'remove';'name';'url';'manifest';'deps';'rank';'class';'packages';'brief';'description'
148;16;;'JOHANNES_SHOEPFER';'13.37';'x86_64';1;1;0;'schoepfer.info-x86_64-13.1';'http://slackware.schoepfer.info/13.37_64/';'slackware64/MANIFEST.bz2';1;99;'64137';'PACKAGES.TXT';'Johannes Schopfer';'Packages from Johannes Schopfer (schoepfer.info) for Slackware 13.37 64bit'
149;17;'todo';'JOHANNES_SHOEPFER';'13.37';'noarch';1;1;0;'schoepfer.info-x86_64-noarch';'http://slackware.schoepfer.info/13.37_noarch/';'MANIFEST.bz2';1;99;'mi131';'PACKAGES.TXT';'Johannes Schopfer';'Packages from Johannes Schopfer (schoepfer.info) for Slackware 13.37 noarch'
171;44;'ok';'ROBBY_WORKMAN';'13.1';'mixed';1;1;0;'rlworkman-for-13.1';'http://rlworkman.net/pkgs/13.1/';'MANIFEST.bz2';0;99;'mi131';'PACKAGES.TXT.gz';'Robby Workman';'Robby Workman s Packages for Slackware 13.1 32&64 bit'
172;40;'todo';'ROBBY_WORKMAN';'13.37';'mixed';1;1;0;'rlworkman-for-13.37';'http://rlworkman.net/pkgs/13.37/';'MANIFEST.bz2';0;99;'mi137';'PACKAGES.TXT';'Robby Workman';'Robby Workman s Packages for Slackware 13.37 32&64 bit'
173;41;'ok';'ROBBY_WORKMAN';'12.2';'i386';1;1;0;'rlworkman-for-12.2';'http://rlworkman.net/pkgs/12.2/';;0;99;'32122';'PACKAGES.TXT.gz';'Robby Workman';'Robby Workman s Packages for Slackware 12.2'
174;42;'removed';'ROBBY_WORKMAN';'current';'mixed';0;0;1;'rlworkman-for-current';'http://rlworkman.net/pkgs/current/';;0;99;'micur';'PACKAGES.TXT.gz';'Robby Workman';'Robby Workman s Packages for Slackware Current'
175;43;'ok';'ROBBY_WORKMAN';'13.0';'mixed';1;1;0;'rlworkman-for-13.0';'http://rlworkman.net/pkgs/13.0/';'MANIFEST.bz2';0;99;'mi130';'PACKAGES.TXT.gz';'Robby Workman';'Robby Workman s Packages for Slackware 13.0 32&64 bit'
191;18;;'LINUXPACKAGES';'13.1';'i386';0;0;1;'linuxpackages-13.1-i386';'http://linuxpackages.inode.at/Slackware/Slackware-13.1-i386/';'MANIFEST.bz2';1;99;'32131';'PACKAGES.TXT.gz';'LinuxPackages';'Repository from LinuxPackages.net containing 32bit packages for Slackware 13.1'
192;33;'ok';'LINUXPACKAGES';'12.2';'i386';1;1;0;'linuxpackages-12.2-i386';'http://linuxpackages.inode.at/Slackware/Slackware-12.2-i386/';'MANIFEST.bz2';1;99;'32122';'PACKAGES.TXT.gz';'LinuxPackages';'Repository from LinuxPackages.net containing 32bit packages for Slackware 12.2'
193;34;'ok';'LINUXPACKAGES';'13.0';'i386';1;1;0;'linuxpackages-13.0-i386-sotirov';'http://linuxpackages.inode.at/Slackware/Slackware-13.0-i386/sotirov/';;1;99;'32130';'PACKAGES.TXT.gz';'LP Sotirov';'Repository from LinuxPackages.net containing 32bit packages for Slackware 13.0'
201;31;;'MIXED';'current';'mixed';1;1;0;'slackers.it';'http://www.slackers.it/repository/';'MANIFEST.bz2';0;99;'micur';'PACKAGES.TXT.gz';'Slackers';'Repository from www.slackers.it. contains mixed 32 and 64 bit packages for Slackware Current'
202;32;'ok';'MIXED';'mixed';'mixed';1;1;0;'alien';'http://connie.slackware.com/~alien/slackbuilds/';'MANIFEST.bz2';0;99;'mimix';'PACKAGES.TXT.gz';'Alien Bob';'Repository from Alien Bob (connie.slackware.com/~alien) containing mixed 32 and 64 bit packages for mixed Slackware versions'
203;37;'ok';'MIXED';'mixed';'mixed';1;1;0;'alien-restricted';'http://ftp.slackware.org.uk/people/alien/restricted_slackbuilds/';'MANIFEST.bz2';0;99;'mimix';'PACKAGES.TXT.gz';'Alien Restricted';'Alien Alternative Repository for non U.S.A. people'
